Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime,details
True,2.1320675322751153,4.207025427327745,-1.0,0.98,0.9,0.74, A0: 10.175278956390876 P0: 0.08124334093164848 S0: 5.247348366356232 A1: 4.268005763362078 P1: 0.0805935006770068 S1: 0.010716230231757695 A2: 2.677976528033354 P2: 0.10914896994148325 S2: 5.060080272523966 A3: 9.464239866930988 P3: 0.11530056215276384 S3: 5.579546548194171 A4: 9.598681428269686 P4: 0.08206491254341562 S4: 0.5293661085713176 A5: 1.5036118202979645 P5: 0.10955090067721986 S5: 0.4055496167083038
False,7.978479155322066,13.517959786337212,4.08,0.86,0.8200000000000001,0.78, A0: 2.7926548026380713 P0: 0.0975243088397894 S0: 0.3741606701634964 A1: 4.052442745669927 P1: 0.10493313179819871 S1: 0.5543499803051511 A2: 12.393053538508449 P2: 0.07679236097130662 S2: 3.48887428445946 A3: 5.320546031244825 P3: 0.0949991951427954 S3: 2.0049765397872825 A4: 5.141179870280864 P4: 0.06697537032969997 S4: 4.263435333634547 A5: 6.017651839978122 P5: 0.07283975443370934 S5: 4.235868297139167
True,7.73999933031961,12.617997071469805,-1.0,-1.0,0.96,0.9400000000000001, A0: 7.39499376466531 P0: 0.10657278550700729 S0: 3.694668717044897 A1: 12.989292693740191 P1: 0.07599423864649761 S1: 5.833613636517907 A2: 2.1746610321414 P2: 0.09201523503502607 S2: 1.4221727781139888 A3: 3.4423251090418887 P3: 0.08127499349412722 S3: 3.9557158680681765 A4: 11.680477449663034 P4: 0.11958956469911287 S4: 2.369920903335138 A5: 3.9919955728824634 P5: 0.10285716818333104 S5: 4.414269480305107
True,8.558049818354139,13.85681400567466,-1.0,0.9400000000000001,0.86,0.64, A0: 6.9119542441569 P0: 0.08734531174181805 S0: 4.331414438353604 A1: 2.117917850396709 P1: 0.09816193297794364 S1: 1.5843157939295816 A2: 10.8561836162952 P2: 0.09029509529852361 S2: 1.1383655480966715 A3: 2.370421559186889 P3: 0.07974296520980978 S3: 2.087191700439446 A4: 11.1802584559706 P4: 0.10776927552749774 S4: 1.6727287441521081 A5: 7.624704265972236 P5: 0.060609701447694536 S5: 0.02171629457314012
False,36.30927768615159,60.45966830492849,-1.0,-1.0,-1.0,0.74, A0: 5.523538008401746 P0: 0.09756455082852329 S0: 2.0295019086165933 A1: 5.789323200784658 P1: 0.10865025796825048 S1: 2.3407039782853025 A2: 8.450392995342568 P2: 0.1074203037436287 S2: 6.269214514446859 A3: 2.207520973220209 P3: 0.08645087550850852 S3: 4.05720468350572 A4: 3.185426452377382 P4: 0.11880437957781917 S4: 4.789777157653419 A5: 1.2383087286000485 P5: 0.10903737477727433 S5: 2.9365311551584186
False,7.332099145248299,12.807503411263495,2.16,0.8200000000000001,0.76,0.68, A0: 1.0282989416868142 P0: 0.09512641558211837 S0: 3.569659060907228 A1: 12.015547482145903 P1: 0.08200446126702862 S1: 1.5213203704579101 A2: 7.268631266865997 P2: 0.09400540756469818 S2: 2.5102440657142964 A3: 4.1204414992906315 P3: 0.10589663491569559 S3: 3.2529494654462296 A4: 0.10404495607156727 P4: 0.07613496307702396 S4: 4.633873290545964 A5: 6.176301957266603 P5: 0.06509820273761173 S5: 4.738412284170453
False,42.015752114387844,71.72101347960857,-1.0,-1.0,0.8200000000000001,0.78, A0: 5.303096290235832 P0: 0.09494178324821995 S0: 3.4574343383615553 A1: 5.2997438633532905 P1: 0.08812374007738598 S1: 4.957478381576686 A2: 7.940340914668536 P2: 0.0708057941330989 S2: 4.613228188241261 A3: 1.4037534904383246 P3: 0.11627132667957787 S3: 3.8872580197988635 A4: 0.29794700571195876 P4: 0.1003125094023314 S4: 1.8193606432572893 A5: 11.93015562788095 P5: 0.10628362059608959 S5: 0.9428113136432852
True,1.7925835064472202,3.65630941296454,-1.0,0.96,0.96,0.84, A0: 6.706490478699602 P0: 0.1135314779748095 S0: 0.37347017808267624 A1: 7.051320322369866 P1: 0.07719953462449747 S1: 1.3815089191206538 A2: 10.105740817877939 P2: 0.10452005648546951 S2: 2.084009048696491 A3: 3.261421438222809 P3: 0.08889823108275938 S3: 4.1826610382491936 A4: 1.8480669365674613 P4: 0.10852995706203969 S4: 0.33815899609189654 A5: 9.825562604384068 P5: 0.06997602558267937 S5: 1.7975627716916536
False,26.157362425280247,39.438000340612334,-1.0,16.46,1.0,0.96, A0: 0.4328421054556758 P0: 0.10054026591757821 S0: 1.7007944726443682 A1: 6.0866377435848715 P1: 0.09029042115984434 S1: 3.1601241919138747 A2: 10.006229183294383 P2: 0.06724226360510027 S2: 5.805877879389697 A3: 9.296049873745151 P3: 0.08027526597711492 S3: 0.2501197359258321 A4: 5.023716741033614 P4: 0.09272514927651214 S4: 4.215628968619948 A5: 9.10047386669414 P5: 0.11837578969311112 S5: 1.5948834152724032
True,16.523789208865928,26.981002820517787,12.34,10.82,1.0,0.86, A0: 8.972458102111116 P0: 0.11812988952740099 S0: 4.381309527133421 A1: 7.561265876316742 P1: 0.062113745849624764 S1: 5.427697419434756 A2: 4.606052133665546 P2: 0.09597531317019962 S2: 4.992450854982566 A3: 1.7942741006368448 P3: 0.08338062296816656 S3: 6.060518367983533 A4: 10.456712423843143 P4: 0.0996900738454392 S4: 0.36813217712813984 A5: 1.3754465175153152 P5: 0.11720177533163496 S5: 4.60187954175618
