Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime
False,5.094733175233058,8.71274107891144,1.8,0.92,0.86,0.84
False,5.239637961884169,9.05847797598022,2.0,0.86,0.78,0.74
False,5.084034435664761,8.658259228316961,1.16,0.92,0.86,0.8
False,5.336108857699132,9.11384130846733,2.34,0.92,0.8200000000000001,0.8
False,5.256905369997212,9.121760238818355,1.86,1.0,0.86,0.84
False,5.06043795281874,8.610573043185163,2.3000000000000003,0.8,0.76,0.7000000000000001
False,4.996048461800432,8.680397348924512,1.96,0.98,0.84,0.8200000000000001
False,5.130746376548488,8.756216111957361,2.2600000000000002,0.84,0.8,0.8
False,5.006061240464838,8.449300540634878,0.98,0.9400000000000001,0.8200000000000001,0.76
False,5.072460509807404,8.51976669087848,2.1,0.88,0.84,0.76
False,5.2677829992003655,9.13614975484955,2.04,1.8,0.8,0.78
False,4.902952703783482,8.293462096941779,0.84,0.78,0.74,0.72
False,5.030379334504002,8.533341160459816,1.9000000000000001,0.9400000000000001,0.86,0.78
False,5.270929007049124,9.008640124283472,1.96,0.92,0.86,0.76
False,4.833650532078197,8.122549748673979,1.78,0.92,0.86,0.8200000000000001
False,5.150831157489716,8.666552637062225,1.04,0.96,0.88,0.78
False,4.886190980491656,8.208258712183339,0.86,0.76,0.74,0.7000000000000001
False,4.97444443569771,8.379293598788285,0.9,0.9,0.76,0.76
False,4.802785122396486,7.95023234772271,0.9,0.84,0.76,0.74
False,5.332146282804475,9.488946023270106,2.52,0.9,0.8200000000000001,0.76
False,5.025756141156851,8.734873692940711,1.92,0.9,0.84,0.78
False,4.9156650495816345,8.378717806072597,2.02,0.8,0.74,0.72
False,5.312853680369305,9.239194701464648,2.36,0.84,0.78,0.7000000000000001
False,4.826560404870711,8.01544982956839,1.06,0.92,0.8,0.76
False,5.045382295552692,8.490389703843448,1.0,0.86,0.8,0.74
False,5.010721119568466,8.415324312224035,1.08,0.9,0.8,0.76
False,4.981157745233939,8.55725778416057,0.9,0.8,0.78,0.72
False,5.340686365734878,9.242235655434218,2.32,0.84,0.8200000000000001,0.8
False,4.9434931354610105,8.433873136736867,0.98,0.84,0.8,0.78
False,4.86366226169764,8.35849796652223,2.1,0.86,0.72,0.66
False,5.341746414692637,9.08911022320209,1.92,0.86,0.78,0.72
False,4.980064087027503,8.426520611805655,1.56,0.92,0.8,0.76
False,5.219488417309772,8.938026867650997,1.82,0.88,0.78,0.76
False,5.062810903391292,8.726504060810221,1.22,0.9400000000000001,0.86,0.84
False,4.930295972605814,8.438485990384015,1.84,0.86,0.8,0.74
False,4.724612303956099,8.071232071383353,0.8,0.76,0.74,0.7000000000000001
False,5.018796873445988,8.532987522833826,1.74,0.92,0.8200000000000001,0.8200000000000001
False,4.953288923873904,8.737879405674272,1.82,1.0,0.92,0.86
False,5.100691565502894,8.663800914828768,1.8,0.78,0.78,0.72
False,4.982081945165493,8.633378327392398,2.42,0.74,0.7000000000000001,0.66
False,5.084056228027667,8.658981692109798,1.96,0.86,0.78,0.74
False,5.302260498004718,8.975383827574897,2.16,0.84,0.74,0.7000000000000001
False,4.93604691377157,8.441373677226107,1.76,0.84,0.74,0.7000000000000001
False,5.225429169498183,8.922437276104954,1.96,0.88,0.84,0.74
False,5.497161838182622,9.49365056905036,2.46,0.92,0.86,0.84
False,5.009241104279869,8.502059197698744,2.04,0.8,0.74,0.74
False,5.13917772265291,8.704574622444094,1.9000000000000001,0.84,0.78,0.72
False,5.04536096613555,8.787401713055312,1.12,1.04,0.88,0.8200000000000001
False,5.721421975686227,10.01109214882819,2.22,0.96,0.92,0.86
False,4.920875914988688,8.35533532392675,0.96,0.78,0.74,0.68
False,5.242209348259262,9.45127852005521,1.92,1.62,1.04,0.88
False,5.1604352285685415,8.907925186991415,1.98,0.9400000000000001,0.84,0.78
False,4.9693900063271546,8.456665391523835,2.02,0.74,0.66,0.66
False,4.7694339366027965,8.0885713196211,1.84,0.8200000000000001,0.76,0.72
False,5.207193297535128,8.939018716022533,0.96,0.86,0.78,0.74
False,5.109711467254439,8.628574490732877,1.08,1.0,0.9,0.8200000000000001
False,5.30032981331123,9.440407878875511,2.32,2.02,0.98,0.8
False,5.175362946442997,8.946864018802737,1.82,0.9,0.84,0.8
False,4.977257274990785,8.65265850948967,1.86,0.8,0.76,0.74
False,4.9198441447628225,8.433790696999184,0.86,0.76,0.72,0.7000000000000001
False,5.297002070174435,9.089847716364527,1.6400000000000001,0.96,0.9,0.86
False,4.911445276439073,8.376576210117735,1.54,1.02,0.84,0.8
False,5.092616902899425,8.884150585371302,2.12,1.0,0.84,0.8200000000000001
False,4.832271280721518,8.28982271401869,2.0,0.8,0.76,0.72
False,5.1913576380389514,8.951814573016948,1.3,1.1400000000000001,1.02,0.98
False,5.186105777611406,8.652602432088036,2.32,0.9400000000000001,0.88,0.8
False,5.1587673101017835,8.978449137059204,1.86,0.88,0.8,0.74
False,5.011447392740859,8.519380098910101,1.04,0.86,0.76,0.74
False,4.995020444415151,8.345346730511949,1.6,1.0,0.88,0.76
False,4.821014785009908,8.261709414229726,1.82,0.88,0.78,0.78
False,5.077551797728178,8.72200937554331,2.32,0.84,0.74,0.7000000000000001
False,4.859117788413847,8.202828040994158,1.8,0.76,0.72,0.68
False,5.306593252307836,9.10348972824507,1.22,1.0,0.88,0.84
False,5.0074127467375105,8.338616914061735,1.3800000000000001,0.92,0.84,0.74
False,4.825698800865686,8.188359425471342,1.82,0.8,0.76,0.68
False,5.267278465264682,8.934480514835494,2.2800000000000002,0.86,0.78,0.76
False,5.1587881264214985,8.771540041703235,1.68,1.04,0.92,0.84
