Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime,details
False,7.740882943651039,13.235007173227435,4.62,1.02,1.0,0.9400000000000001, A0: 12.418742460977738 P0: 0.04937561197500162 S0: 2.299324077123538 A1: 12.891718675307873 P1: 0.04760106773501585 S1: 2.266145122668485 A2: 2.7125093112860825 P2: 0.04559683207857215 S2: 4.147926788292511 A3: 9.70892297494905 P3: 0.03047233531524477 S3: 4.590571214198787 A4: 5.226916629661359 P4: 0.03845459320050643 S4: 3.27133757836891 A5: 2.2726425980254588 P5: 0.03710252216510841 S5: 4.847143058039306
False,6.479657169523208,11.08098066653234,0.9400000000000001,0.88,0.8200000000000001,0.76, A0: 2.798654850737435 P0: 0.054595778100829585 S0: 4.835410260191654 A1: 7.606135379004684 P1: 0.03605878716551551 S1: 0.3777360677385557 A2: 7.002535140697252 P2: 0.03459423469503426 S2: 2.3277812762545653 A3: 2.8314862341392426 P3: 0.03350406447136678 S3: 0.431813551588159 A4: 1.8198914962275823 P4: 0.04307802559077327 S4: 1.7283612682126834 A5: 5.155630280062068 P5: 0.047898610467660065 S5: 4.637711729675545
False,6.386253559902853,10.778298556106613,2.0,0.86,0.78,0.66, A0: 8.082658676623636 P0: 0.032790250442428476 S0: 0.5505008212436944 A1: 0.8546728761307141 P1: 0.039252493901159854 S1: 3.9375947529514748 A2: 6.047118423870264 P2: 0.04733168111657555 S2: 3.9702109723568437 A3: 0.9784304404626734 P3: 0.04129830285699421 S3: 1.2285962920773006 A4: 5.793972158984495 P4: 0.05435795530700364 S4: 1.522622819819202 A5: 7.467094462718907 P5: 0.03630729181399149 S5: 2.1147769755828048
False,6.885293310283825,11.831615561273477,2.84,0.8,0.76,0.74, A0: 7.248649959215452 P0: 0.04165223823915704 S0: 0.46087910370954177 A1: 4.165131005828331 P1: 0.03464516582316894 S1: 0.4488269645723133 A2: 8.329840896238412 P2: 0.04030213783696244 S2: 5.0118399299640926 A3: 6.615884239508973 P3: 0.030859792390743237 S3: 5.825561928643025 A4: 12.118536779318102 P4: 0.04884438729255704 S4: 3.230200578123662 A5: 6.094814410148032 P5: 0.05284937403493435 S5: 1.0205167044639616
False,7.771212124684746,13.188520714949103,0.96,0.9,0.78,0.78, A0: 2.1820565875663878 P0: 0.05002689773959777 S0: 4.785180009163566 A1: 6.3391070362671025 P1: 0.055766572017445164 S1: 1.0031989711540419 A2: 9.697478836262997 P2: 0.05026407919009883 S2: 4.084297705799254 A3: 10.679711386240063 P3: 0.031153264029968247 S3: 4.4333206431722125 A4: 6.064784975495501 P4: 0.05419650384286465 S4: 3.4250893919617686 A5: 8.741164144618166 P5: 0.04276030745408007 S5: 0.9518386997541752
False,7.363717012767589,12.912183652057307,1.84,1.0,0.92,0.9, A0: 2.421033748275028 P0: 0.039704282400187654 S0: 2.8792214083813015 A1: 2.7051279522053666 P1: 0.04110354501911839 S1: 1.6306615552263046 A2: 4.040084962947331 P2: 0.033837887432131286 S2: 5.952828430016903 A3: 5.519233352389341 P3: 0.03670956810062713 S3: 4.667917598313426 A4: 11.240439428361114 P4: 0.044854195445618875 S4: 6.045852886277575 A5: 8.62599644795814 P5: 0.03127217698608717 S5: 0.5403229435598881
False,6.092451318069334,10.651153215677349,2.3000000000000003,0.84,0.74,0.7000000000000001, A0: 7.699205841135548 P0: 0.059412071139473575 S0: 1.594349806632402 A1: 1.5185559428913904 P1: 0.04699474791600449 S1: 3.784241277833963 A2: 5.320547833915967 P2: 0.045981525136104706 S2: 6.154675887846353 A3: 10.31046541628311 P3: 0.05766685500834396 S3: 1.1968695014283934 A4: 0.7032220677250649 P4: 0.04175539918176823 S4: 0.5254049218337612 A5: 4.48605469744486 P5: 0.056943101858010076 S5: 5.799068949742114
False,6.361968588108658,11.41342183662508,2.34,0.98,0.88,0.88, A0: 4.53747253176542 P0: 0.03025070741788217 S0: 0.8429301851963582 A1: 10.927254865705033 P1: 0.05370656349805203 S1: 1.6063644289071286 A2: 11.412373856976338 P2: 0.05502425012526204 S2: 3.6412172907267193 A3: 0.32122062184593336 P3: 0.03972424560565595 S3: 4.984944753923884 A4: 5.236105390554915 P4: 0.04477790369437116 S4: 5.1289181216292095 A5: 0.09259078748104776 P5: 0.035214889157831726 S5: 4.796815960397626
False,6.124886191481423,10.774663504588238,1.92,1.32,0.9400000000000001,0.86, A0: 9.901956061212983 P0: 0.055323385831687895 S0: 1.1517466990064407 A1: 6.145675278875164 P1: 0.03849329435460285 S1: 2.2546383381418735 A2: 5.701424365991091 P2: 0.05426587848189117 S2: 6.108214191225735 A3: 3.9374658815379244 P3: 0.0390530268897031 S3: 5.7407170130358125 A4: 0.29530265939638856 P4: 0.037161981429538665 S4: 6.160161839800501 A5: 2.2704259785110956 P5: 0.03670068490423842 S5: 3.088465087703506
False,8.539439366924883,14.39195697691772,5.62,1.02,0.96,0.86, A0: 12.069121397374195 P0: 0.0541675413244513 S0: 1.3300625361517218 A1: 0.6218596169146817 P1: 0.04286319408503685 S1: 1.9555074604490512 A2: 1.2606243136357684 P2: 0.055826243832994414 S2: 6.0353228483105195 A3: 7.829482973069762 P3: 0.049631170604497316 S3: 4.176507532500194 A4: 8.953446401229494 P4: 0.03699649818938612 S4: 3.561877235011972 A5: 11.41367804099261 P5: 0.044182904637229695 S5: 0.33457472789653603
False,6.524542951856224,11.834300940625274,2.0,1.06,1.04,0.96, A0: 7.14430646901809 P0: 0.039817233095000584 S0: 5.12406031715823 A1: 6.058273794665337 P1: 0.04376236250411131 S1: 1.6978631290133062 A2: 11.579988889058175 P2: 0.04226922660522029 S2: 0.2632843496057116 A3: 2.7112035495449818 P3: 0.054605079357878776 S3: 5.4555224058768985 A4: 7.074896672775484 P4: 0.047583110898214556 S4: 0.4882649097654121 A5: 0.7748393723993607 P5: 0.058191943630516905 S5: 4.002822090330159
False,6.37938611724982,11.329827959260582,2.06,1.96,1.0,0.86, A0: 1.6418798436813726 P0: 0.04991003819528743 S0: 2.391320580239869 A1: 1.8440142097372276 P1: 0.039008189334667015 S1: 0.3223004772144128 A2: 7.924543598058862 P2: 0.05856940825017756 S2: 3.1388047885774424 A3: 4.753640777675652 P3: 0.032699099661829684 S3: 1.9507080985092662 A4: 4.020760073716251 P4: 0.04859059885705795 S4: 0.37905709935477966 A5: 3.3970961254770686 P5: 0.046615556891827635 S5: 0.7556486447250027
False,8.22990855244695,14.52443599466395,3.0,0.9400000000000001,0.92,0.88, A0: 10.84639449904867 P0: 0.044857067697580764 S0: 4.175452006706715 A1: 4.519156684159633 P1: 0.039566429158892684 S1: 3.1779927099459018 A2: 1.946348422501369 P2: 0.05115355462199461 S2: 3.429799789440828 A3: 10.495967310198296 P3: 0.03308332796148201 S3: 4.800759019309264 A4: 10.470848044034026 P4: 0.05821172623757457 S4: 1.3196907712105004 A5: 11.15421672887214 P5: 0.05509706325927087 S5: 3.58464937324509
False,8.050217888943978,13.583380753088756,2.16,0.8200000000000001,0.74,0.72, A0: 7.417688533182912 P0: 0.04964923504732529 S0: 1.6697338487952371 A1: 6.577630900331722 P1: 0.03445101893201153 S1: 3.5203414340499637 A2: 1.0704963785443637 P2: 0.05794331023846752 S2: 1.7285792676056375 A3: 11.088631542512713 P3: 0.04954856101952966 S3: 2.1981933040528134 A4: 2.2891588686221787 P4: 0.031371333999734505 S4: 1.1826600022369225 A5: 9.619053221301444 P5: 0.058326990214291066 S5: 5.928258354302786
False,7.152386695026723,12.565302415927848,1.54,1.08,1.02,0.92, A0: 6.8310558109547355 P0: 0.045490213192274746 S0: 1.5679649659035713 A1: 1.015821901946624 P1: 0.053354093804113135 S1: 1.1300104891218874 A2: 0.20491706293538203 P2: 0.0376456493172951 S2: 1.5826876188426473 A3: 12.988667957078956 P3: 0.031827615530376496 S3: 0.5857586635726122 A4: 2.6151829827707096 P4: 0.04242372275418612 S4: 6.011649035851846 A5: 3.9912992170701225 P5: 0.04606810789529571 S5: 0.5300746415193998
False,7.523234542080847,12.987868970496345,3.88,1.28,1.18,1.08, A0: 7.632231622029559 P0: 0.039284422618251144 S0: 3.2988868390516686 A1: 5.612582544800957 P1: 0.050193779395714025 S1: 2.5627887410620787 A2: 12.888616499492246 P2: 0.03844313136714335 S2: 2.266517567394784 A3: 5.899427142396079 P3: 0.044375589758500575 S3: 2.3641086113425493 A4: 6.9191117352954965 P4: 0.04730345775459092 S4: 1.9532081364554887 A5: 5.291220152854619 P5: 0.051736167753090555 S5: 5.709025515871193
False,7.280239320892014,12.438653138220447,1.36,1.26,0.88,0.84, A0: 0.9037817660909473 P0: 0.031622871666764134 S0: 0.19502082898076523 A1: 9.470673624103073 P1: 0.04628906766022643 S1: 1.1564034218912431 A2: 6.58948698916733 P2: 0.05178362282861906 S2: 6.1158455580355975 A3: 7.233648965575385 P3: 0.05541129296774394 S3: 5.9045874080117144 A4: 1.3491258202399474 P4: 0.04303454967321797 S4: 1.4551980773421413 A5: 10.355842426850597 P5: 0.0536390461078961 S5: 2.3502511647296522
False,8.419431348812962,14.307798926167113,5.28,2.2600000000000002,0.8200000000000001,0.8, A0: 3.509237644570676 P0: 0.0592072168059156 S0: 3.2295251445493887 A1: 6.729685417809087 P1: 0.03207154558397332 S1: 4.13635312291221 A2: 11.968960275952282 P2: 0.05108101524590299 S2: 0.3440850732218487 A3: 12.721984351728882 P3: 0.040190592347849476 S3: 3.8406590733380197 A4: 7.921586375162245 P4: 0.03626118394870798 S4: 0.2308929357407578 A5: 6.368966013771125 P5: 0.059521533964885284 S5: 3.3126017162095374
False,8.226093540261616,13.798948210465447,3.64,1.26,1.12,1.06, A0: 6.677953229694834 P0: 0.053133284049022275 S0: 0.43898214565880284 A1: 0.18126227181325572 P1: 0.05080607620399889 S1: 0.8470270391910746 A2: 11.42277338921996 P2: 0.04754381135012246 S2: 2.192847642663122 A3: 8.884492899852422 P3: 0.05664586643634767 S3: 0.22137055904192823 A4: 12.759723889865448 P4: 0.03802357649547824 S4: 4.55980842084074 A5: 10.065267977082513 P5: 0.0438021970517113 S5: 3.0733381183884063
False,7.849947431815328,13.96969328563902,3.22,2.32,2.04,0.9400000000000001, A0: 3.7119862839192654 P0: 0.05311761766878924 S0: 2.018338735504389 A1: 7.4167658936273355 P1: 0.05981666423021949 S1: 3.285228292902709 A2: 3.709517386252695 P2: 0.03366122915231566 S2: 2.312312407227201 A3: 0.9754518921915246 P3: 0.05817553956426516 S3: 1.172093809377595 A4: 0.8505249292962955 P4: 0.03521369406033184 S4: 1.2828216558108254 A5: 12.377160137475382 P5: 0.04601307850431028 S5: 4.466255464988383
False,9.010256730358753,15.41108580945938,3.2800000000000002,0.92,0.88,0.86, A0: 6.11778764014079 P0: 0.048983605893006335 S0: 1.0114569505898412 A1: 11.517310468973367 P1: 0.059329165338123976 S1: 5.4301119199414325 A2: 9.057674627758864 P2: 0.05809261888973269 S2: 0.9998678729590154 A3: 11.96166123769899 P3: 0.04391039567966764 S3: 4.531059560615335 A4: 7.217803741961888 P4: 0.03955037798783481 S4: 0.6913596505224271 A5: 0.09552939088048606 P5: 0.044220203988942434 S5: 1.7518305357692465
